be,быть,byt'
and,а также,a takzhe
of,из,iz
to,в,v
in,в,v
have,иметь,imet'
it,Это,Eto
you,вы,vy
he,он,on
for,для,dlya
they,Oни,Oni
not,не,ne
that,что,chto
we,мы,my
on,на,na
with,с,s
this,это,eto
i,я,ya
do,делать,delat'
as,в виде,v vide
at,в,v
she,она,ona
but,но,no
from,из,iz
by,от,ot
will,будем,budem
or,или,ili
say,сказать,skazat'
go,идти,idti
so,так,tak
all,все,vse
if,если,yesli
one,один,odin
would,бы,by
about,около,okolo
can,Можно,Mozhno
which,который,kotoryy
there,там,tam
know,знать,znat'
more,Больше,Bol'she
get,получить,poluchit'
who,кто,kto
like,как,kak
when,когда,kogda
think,думать,dumat'
make,делать,delat'
time,время,vremya
see,видеть,videt'
what,какие,kakiye
up,вверх,vverkh
some,некоторые,nekotoryye
other,Другие,Drugiye
out,вне,vne
good,хорошо,khorosho
people,люди,lyudi
year,год,god
take,принимать,prinimat'
no,нет,net
well,Что ж,Chto zh
because,потому как,potomu kak
very,очень,ochen'
just,просто,prosto
come,приехать,priyekhat'
could,мог,mog
work,Работа,Rabota
use,использование,ispol'zovaniye
than,чем,chem
now,Теперь,Teper'
then,тогда,togda
also,также,takzhe
into,в,v
only,только,tol'ko
look,смотреть,smotret'
want,хотеть,khotet'
give,дайте,dayte
first,первый,pervyy
new,новый,novyy
way,путь,put'
find,найти,nayti
over,над,nad
any,Любые,Lyubyye
after,после,posle
day,день,den'
where,где,gde
thing,вещь,veshch'
most,большинство,bol'shinstvo
should,должен,dolzhen
need,необходимость,neobkhodimost'
much,много,mnogo
right,правильно,pravil'no
how,как,kak
back,назад,nazad
mean,имею в виду,imeyu v vidu
even,даже,dazhe
may,май,may
here,Вот,Vot
many,многие,mnogiye
such,такие,takiye
last,последний,posledniy
child,ребенок,rebenok
tell,рассказать,rasskazat'
really,действительно,deystvitel'no
call,вызов,vyzov
before,до,do
company,Компания,Kompaniya
through,через,cherez
down,вниз,vniz
show,показать,pokazat'
life,жизнь,zhizn'
man,человек,chelovek
change,изменение,izmeneniye
place,место,mesto
long,длинный,dlinnyy
between,между,mezhdu
feel,Чувствовать,Chuvstvovat'
too,слишком,slishkom
still,все еще,vse yeshche
problem,проблема,problema
write,записывать,zapisyvat'
same,одна и та же,odna i ta zhe
lot,много,mnogo
great,Великий,Velikiy
try,пытаться,pytat'sya
leave,оставлять,ostavlyat'
number,номер,nomer
both,и то и другое,i to i drugoye
own,своя,svoya
part,часть,chast'
point,точка,tochka
little,немного,nemnogo
help,Помогите,Pomogite
ask,просить,prosit'
meet,встретить,vstretit'
start,Начало,Nachalo
talk,говорить,govorit'
something,что нибудь,chto nibud'
put,положил,polozhil
another,другой,drugoy
become,стали,stali
interest,интерес,interes
country,страна,strana
old,старый,staryy
each,каждый,kazhdyy
school,школа,shkola
late,поздно,pozdno
high,высокая,vysokaya
different,другой,drugoy
off,от,ot
next,следующий,sleduyushchiy
end,конец,konets
live,жить,zhit'
why,Зачем,Zachem
while,в то время как,v to vremya kak
world,Мир,Mir
week,неделю,nedelyu
play,играть,igrat'
might,мог бы,mog by
must,должен,dolzhen
home,Главная,Glavnaya
never,никогда,nikogda
include,включают,vklyuchayut
course,курс,kurs
house,дом,dom
report,доклад,doklad
group,группа,gruppa
case,дело,delo
woman,женщина,zhenshchina
around,вокруг,vokrug
book,книга,kniga
family,семья,sem'ya
seem,казаться,kazat'sya
let,позволять,pozvolyat'
again,еще раз,yeshche raz
kind,своего рода,svoyego roda
keep,держать,derzhat'
hear,заслушивать,zaslushivat'
system,система,sistema
every,каждый,kazhdyy
question,вопрос,vopros
during,в течение,v techeniye
always,всегда,vsegda
big,большой,bol'shoy
set,задавать,zadavat'
small,маленький,malen'kiy
study,изучение,izucheniye
follow,следовать,sledovat'
begin,начать,nachat'
important,важный,vazhnyy
since,поскольку,poskol'ku
run,бег,beg
under,под,pod
turn,очередь,ochered'
few,мало,malo
bring,приносить,prinosit'
early,рано,rano
hand,рука,ruka
state,государство,gosudarstvo
move,переехать,pereyekhat'
money,Деньги,Den'gi
fact,факт,fakt
however,Однако,Odnako
area,площадь,ploshchad'
provide,предоставлять,predostavlyat'
name,имя,imya
read,читать,chitat'
friend,друг,drug
month,месяц,mesyats
large,большой,bol'shoy
business,бизнес,biznes
without,без,bez
information,Информация,Informatsiya
open,открытый,otkrytyy
order,заказ,zakaz
government,правительство,pravitel'stvo
word,слово,slovo
issue,вопрос,vopros
market,рынок,rynok
pay,платить,platit'
build,строить,stroit'
hold,держать,derzhat'
service,оказание услуг,okazaniye uslug
against,против,protiv
believe,верить,verit'
second,второй,vtoroy
though,хоть,khot'
yes,да,da
love,люблю,lyublyu
increase,увеличение,uvelicheniye
job,работа,rabota
plan,план,plan
result,результат,rezul'tat
away,далеко,daleko
example,пример,primer
happen,случаться,sluchat'sya
offer,предлагает,predlagayet
young,молодой,molodoy
